Trave,,,,,,
x,M neg,M pos,T neg,T pos,N neg,N pos
6.173506209,0,61.98586134,0,-24.79418302,-0.010661577,0.010661577
6.271427832,0,59.79009499,0,-30.67823542,-0.014926188,0.014926188
6.369349455,0,57.01814563,0,-36.56227166,-0.019190788,0.019190788
6.467271077,0,53.67000891,0,-42.44629242,-0.023455371,0.023455371
6.5651927,0,49.74568213,0,-48.33029852,-0.027719913,0.027719913
6.663114323,0,45.24516329,0,-54.21429097,-0.031984436,0.031984436
6.761035946,0,40.16845081,0,-60.0982709,-0.036248917,0.036248917
6.858957569,0,34.51554337,0,-65.98223963,-0.040513358,0.040513358
6.956879191,0,28.28643986,0,-71.86619861,-0.044777745,0.044777745
7.054800814,0,21.4811394,0,-77.75014948,-0.049042086,0.049042086
7.152722437,0,14.09964129,0,-83.63409401,-0.053306367,0.053306367
7.25064406,-1.252061984,6.141945068,0,-89.51803414,-0.057570599,0.057570599
7.348565683,-10.30588596,0,0,-95.40197197,-0.061834765,0.061834765
7.446487306,-19.93587479,0,0,-101.2859098,-0.066098845,0.066098845
7.544408928,-30.14202868,0,0,-107.1698499,-0.070362853,0.070362853
7.642330551,-40.9243481,0,0,-113.053795,-0.074626779,0.074626779
7.740252174,-52.28283379,0,0,-118.9377478,-0.078890619,0.078890619
7.838173797,-64.21748678,0,0,-124.8217111,-0.083154369,0.083154369
7.93609542,-76.72830839,0,0,-130.705688,-0.087418036,0.087418036
8.034017043,-89.81530026,0,0,-136.5896817,-0.091681602,0.091681602
8.131938665,-103.4784644,0,0,-142.4736956,-0.095945068,0.095945068
8.229860288,-117.717803,0,0,-148.3577332,-0.100208421,0.100208421
8.327781911,-132.5333189,0,0,-154.2417981,-0.104471652,0.104471652
8.327781911,-127.0663969,0,175.0723217,0,-0.086884412,0.086885908
8.409225697,-113.0701191,0,168.6317471,0,-0.086884384,0.086885936
8.490669482,-99.59838552,0,162.1911829,0,-0.083338555,0.083340162
8.572113268,-86.65119464,0,155.7506372,0,-0.079792658,0.079794322
8.653557053,-74.22854526,0,149.3101069,0,-0.076246693,0.076248412
8.735000839,-62.33043639,0,142.8695894,0,-0.07270067,0.072702445
8.816444624,-50.95686728,0,136.429082,0,-0.069154589,0.069156419
8.89788841,-40.10783738,0,129.9885822,0,-0.065608457,0.065610343
8.979332195,-29.78334638,0,123.5480877,0,-0.062062266,0.062064209
9.060775981,-19.98339417,0,117.1075962,0,-0.05851603,0.058518029
9.142219766,-10.70798083,0,110.6671057,0,-0.054969743,0.054971798
9.223663552,-1.957106693,7.077984838,104.2266143,0,-0.051423414,0.051425524
9.305107337,0,14.56381019,97.78612002,0,-0.047877051,0.047879217
9.386551123,0,21.52508653,91.34562134,0,-0.044330643,0.044332865
9.467994909,0,27.96181498,84.90511668,0,-0.040784211,0.040786489
9.549438694,0,33.87399707,78.46460466,0,-0.037237742,0.037240076
9.63088248,0,39.26163496,72.024084,0,-0.033691249,0.033693638
9.712326265,0,44.12473183,65.5835536,0,-0.030144716,0.030147162
9.793770051,0,48.4632928,59.14301247,0,-0.02659817,0.026600671
9.875213836,0,52.27732705,52.70245978,0,-0.02305159,0.023054147
9.956657622,0,55.56685417,46.2618948,0,-0.019505008,0.019507622
10.03810141,0,58.33192751,39.82131698,0,-0.015958398,0.015961068
10.11954519,0,60.57277431,33.38072588,0,-0.012411783,0.012414508
10.20098898,0,62.29389068,26.9401212,0,-0.008865157,0.008867938
10.28243276,0,64.07293364,20.4995028,0,-0.005318519,0.005321355
10.36387655,0,65.47928569,14.05887065,0,-0.001771871,0.001774764
10.44532034,0,66.36174887,7.618224872,-1.474584455,-0.001771824,0.001774773
10.52676412,0,66.7198003,1.177565718,-7.915074423,-0.005318407,0.005321412
10.60820791,0,66.55335151,0,-14.35555141,-0.008864983,0.008868043
10.68965169,0,65.86237433,0,-20.79601595,-0.012411549,0.012414665
10.77109548,0,64.64685661,0,-27.2364687,-0.015958114,0.015961286
10.85253926,0,62.90679201,0,-33.67691049,-0.019504663,0.019507891
10.93398305,0,60.64217673,0,-40.11734223,-0.023051186,0.02305447
11.01542683,0,57.8530083,0,-46.55776503,-0.026597696,0.026601036
11.09687062,0,54.53928496,0,-52.99818009,-0.030144182,0.030147578
11.1783144,0,50.70100547,0,-59.43858877,-0.033690655,0.033694106
11.25975819,0,46.33816894,0,-65.87899257,-0.037237099,0.037240606
11.34120198,0,41.45077473,0,-72.3193931,-0.040783518,0.040787081
11.42264576,0,36.03882246,0,-78.75979214,-0.044329909,0.044333528
11.50408955,0,30.10231198,0,-85.2001916,-0.047876256,0.047879931
11.58553333,0,23.64124334,0,-91.6405935,-0.051422568,0.051426298
11.66697712,0,16.6556168,0,-98.08100003,-0.054968845,0.054972631
11.7484209,-4.774241356,9.145432839,0,-104.5214135,-0.058515078,0.05851892
11.82986469,-13.54911685,1.110692151,0,-110.9618364,-0.062061264,0.062065162
11.91130847,-22.84852609,0,0,-117.4022712,-0.065607392,0.065611347
11.99275226,-32.67247022,0,0,-123.8427207,-0.069153477,0.069157487
12.07419605,-43.02095064,0,0,-130.2831879,-0.07269951,0.072703576
12.15563983,-53.89396899,0,0,-136.7236755,-0.076245477,0.076249599
12.23708362,-65.29152717,0,0,-143.1641869,-0.07979138,0.079795557
12.3185274,-77.21362738,0,0,-149.6047253,-0.083337214,0.083341448
12.39997119,-89.66027205,0,0,-156.045294,-0.086882994,0.086887284
12.39997119,0,0,0,0,0,0
